,O43474,O60216,O75534,P13639,P26358,P28069,P40763,Q00839,Q13363,Q15022,Q15059,Q15233,Q15366,Q15717,Q15910,Q6UXN9,Q8N6T7,Q8TB72,Q96EV2,Q9UBK2,Q9Y2Z0,Q9Y6K1
NCBI:100128782,0.658011863,0.662769759,0.624236113,0.640686966,0.715458689,0.553176663,0.579378541,0.599256113,0.562245019,0.645126762,0.576671595,0.588222762,0.556298778,0.68523101,0.639666111,0.654347086,0.615866398,0.587202075,0.61984974,0.567886371,0.731811083,0.668205852
NCBI:100129060,0.637173063,0.599078763,0.668452611,0.667446131,0.76819768,0.674343245,0.641226284,0.731530967,0.623748383,0.715498851,0.717598404,0.692561994,0.646837213,0.594269918,0.74193849,0.710673993,0.641558049,0.648395943,0.811794013,0.8241907,0.731302958,0.750752758
NCBI:100129195,0.709765349,0.632307481,0.688841192,0.689311822,0.806365309,0.515768614,0.682192677,0.757215243,0.632027836,0.809540248,0.74519756,0.727307775,0.684919183,0.640047006,0.775000334,0.721103716,0.609667441,0.717718999,0.789245685,0.698540892,0.666444896,0.864637535
NCBI:100129196,0.718057974,0.709002911,0.750090535,0.799019127,0.851096627,0.642604434,0.683242864,0.743010459,0.679767562,0.694282496,0.751919045,0.636632694,0.749025145,0.626394736,0.733432785,0.611431673,0.617437402,0.782461205,0.790522776,0.700983347,0.758911224,0.704365518
NCBI:100129387,0.673017144,0.685162396,0.659698203,0.749078222,0.698015553,0.652285984,0.698302724,0.669004539,0.673069032,0.685262394,0.61968991,0.696470826,0.655522172,0.558821899,0.653312713,0.584764871,0.65092272,0.751210162,0.7813225,0.662873664,0.655716855,0.572731514
NCBI:100129550,0.70157441,0.739838542,0.781149965,0.70904291,0.630786729,0.783540815,0.78938514,0.471192142,0.949943299,0.499078197,0.560878831,0.673539677,0.706448335,0.66529788,0.729028262,0.462399009,0.425936442,0.791475537,0.862985745,0.802092322,0.908740257,0.458047851
NCBI:100129617,0.5427019,0.676646046,0.783945416,0.775449868,0.933765002,0.646607333,0.615168426,0.677249569,0.723734826,0.688746221,0.673534131,0.565996905,0.673090306,0.646355288,0.732405173,0.656536682,0.627756573,0.8214173,0.749092234,0.609000802,0.682847616,0.76629242
NCBI:100129716,0.717917595,0.634192543,0.744784049,0.754319357,0.825238798,0.630519625,0.752517463,0.725568881,0.602733301,0.704878108,0.714038865,0.724917692,0.702758233,0.629690259,0.724792693,0.685983555,0.697386735,0.730060105,0.757135841,0.734388778,0.677681498,0.767133849
NCBI:100129722,0.641949789,0.701379882,0.759207387,0.854386016,0.951207941,0.639938513,0.774098042,0.726137214,0.625070503,0.731932918,0.703294696,0.543995515,0.646959183,0.627453072,0.700518341,0.706693889,0.639683597,0.762343595,0.788044728,0.744047085,0.692631141,0.784383256
NCBI:100129726,0.615473236,0.727603369,0.661182259,0.833693906,0.918587119,0.735724931,0.678912149,0.748354511,0.719299098,0.703467547,0.674834766,0.759649766,0.615349883,0.613706706,0.79087502,0.680366368,0.711492833,0.861997366,0.820456204,0.676973774,0.707809893,0.738829573
NCBI:100129781,0.646810915,0.627389433,0.649590504,0.689627953,0.728280348,0.531494453,0.677015952,0.646408964,0.670652631,0.64386374,0.71686226,0.590863654,0.627826041,0.640290065,0.62012495,0.671033274,0.609659799,0.672703893,0.702622167,0.61238518,0.674887009,0.584153668
NCBI:100129794,0.758942528,0.596761549,0.7616212,0.747001254,1,0.698019201,0.662562725,0.69241073,0.669284705,0.792609348,0.753741857,0.632282765,0.654007757,0.626537854,0.672791641,0.641977147,0.737665464,0.733201139,0.84238713,0.739827833,0.657486393,0.652655128
NCBI:100129858,0.710119551,0.623608267,0.719595338,0.744796937,0.80319651,0.632114337,0.663942862,0.757976883,0.800851573,0.65950096,0.733277706,0.728706994,0.669374399,0.728855466,0.671973567,0.74972763,0.642080974,0.77667007,0.92678015,0.681413507,0.628025259,0.715799714
NCBI:100129917,0.634585941,0.740033138,0.714447392,0.690871996,0.774904273,0.594256595,0.73322967,0.534691759,0.664841195,0.646077274,0.735338288,0.598587323,0.597009554,0.621358855,0.597547782,0.567049174,0.607720943,0.640229552,0.648823437,0.637168532,0.573233928,0.594009715
NCBI:100129931,0.670164029,0.630811733,0.654624215,0.758558508,0.723065424,0.633429603,0.652323961,0.676985812,0.573807702,0.680174917,0.606394572,0.577863318,0.540305394,0.636964755,0.689404544,0.660126157,0.677793003,0.708368163,0.75464812,0.631223918,0.569600088,0.636792797
NCBI:100129961,0.750474184,0.716960767,0.749616136,0.799365578,0.819380879,0.666789354,0.712559968,0.769533069,0.747800446,0.788160705,0.732624231,0.659588963,0.62201643,0.602739737,0.79785691,0.708975347,0.650463544,0.769474627,0.864218722,0.842338826,0.725052253,0.770432432
NCBI:100130197,0.851606483,0.895068551,0.809751865,0.803126136,0.769673084,0.730870109,0.765555308,0.797040368,0.849342713,0.845220236,0.875962284,0.816586446,0.881320364,0.762630096,0.725680484,0.79430499,0.812564038,0.786740908,0.733267202,0.847901875,0.716144864,0.865610086
NCBI:100130231,0.656102801,0.65724397,0.687410316,0.660263315,0.764897067,0.600853191,0.689292496,0.676931187,0.658152434,0.607910888,0.595213447,0.568294254,0.615356643,0.686961978,0.663235702,0.64331435,0.569631506,0.663304386,0.771245612,0.574446558,0.679056607,0.607446012
NCBI:100130275,0.686956363,0.748870674,0.786294175,0.911875949,0.903956512,0.59168009,0.812522586,0.808523941,0.737289161,0.717362441,0.882071664,0.68253649,0.766707495,0.751950307,0.797459898,0.672623292,0.656546292,0.901024813,0.837879728,0.753240047,0.671421994,0.797242236
NCBI:100130417,0.722249941,0.631101117,0.749053562,0.82441932,0.922995033,0.660617431,0.702852008,0.84438905,0.675047703,0.650388074,0.716599446,0.633562164,0.667055371,0.73490625,0.745808974,0.611662825,0.588244365,0.817667578,0.818128084,0.74767171,0.752692613,0.790426074
NCBI:100130522,0.564459093,0.709692251,0.682009402,0.658381126,0.740820084,0.648648654,0.738314502,0.757374433,0.665802594,0.612034156,0.596143549,0.657961022,0.665160863,0.690501318,0.701183706,0.607539101,0.621858867,0.798304816,0.73378928,0.677935464,0.715103447,0.674853053
NCBI:100130581,0.617064025,0.691899446,0.624554326,0.708855097,0.695853592,0.498954894,0.670562677,0.699752403,0.688590101,0.683210093,0.629950565,0.709077429,0.720577593,0.63442393,0.591468403,0.586221722,0.664542335,0.686676165,0.781899503,0.628996898,0.608822639,0.608466225
NCBI:100130855,0.676816671,0.67399929,0.73378317,0.745651876,0.839259709,0.662139701,0.802865628,0.658552982,0.684935738,0.70920122,0.777686991,0.716050798,0.640006975,0.57846581,0.705627021,0.601680678,0.724227627,0.81094333,0.892778308,0.714679557,0.680619572,0.851724954
NCBI:100131060,0.67994734,0.672261412,0.867015573,0.837788436,0.83980841,0.754448927,0.722984827,0.777608137,0.763291791,0.829608596,0.680610042,0.767219163,0.697373217,0.634016463,0.721360731,0.615900976,0.748479805,0.794632883,0.887462174,0.781204229,0.739657029,0.755218486
NCBI:100131067,0.716173271,0.678123586,0.552083226,0.775060049,0.860968426,0.753829756,0.704057726,0.712835677,0.66348837,0.613641078,0.612564024,0.696159676,0.679340971,0.590784006,0.709176315,0.626819481,0.588684808,0.720876872,0.80298475,0.665260638,0.648957,0.682651243
NCBI:100131089,0.571008201,0.687646444,0.632981767,0.658768005,0.741307518,0.679207013,0.692117027,0.738551332,0.788011322,0.67483295,0.551245509,0.624772837,0.61299286,0.681775752,0.645512324,0.668989879,0.678650828,0.792531813,0.678053214,0.808617102,0.644304378,0.69030033
NCBI:100131107,0.66221537,0.756446682,0.668711667,0.835679405,0.866741303,0.669908899,0.7182303,0.796566832,0.638943156,0.724529046,0.696113416,0.692220685,0.622594147,0.700339138,0.757743988,0.650413243,0.640139485,0.810833007,0.81124709,0.670287763,0.627281397,0.755833373
NCBI:100131208,0.75103983,0.698021957,0.704256228,0.742817276,0.718653054,0.656835476,0.697730016,0.723241112,0.640824387,0.643425271,0.722241278,0.642683486,0.649117761,0.64857859,0.783669921,0.740464911,0.689264927,0.766420622,0.849155986,0.657067374,0.673096136,0.823346796
NCBI:100131564,0.65892333,0.728042399,0.610355776,0.728899581,0.748098237,0.6332595,0.685957367,0.619049929,0.621297416,0.677905138,0.567609066,0.723366504,0.59725838,0.712332255,0.613238693,0.624311412,0.612032473,0.70793759,0.707743987,0.742234593,0.620489506,0.667553197
NCBI:100131655,0.684126992,0.729076391,0.737505371,0.7720549,0.804277883,0.695738089,0.779793165,0.759573143,0.726409336,0.821355609,0.757270769,0.754587584,0.663949488,0.699835947,0.793904275,0.626749933,0.649231359,0.776041858,0.929160999,0.721302926,0.622572602,0.779145826
NCBI:100131691,0.680765552,0.657692345,0.728801656,0.756349217,0.801198768,0.634597516,0.684120718,0.693335794,0.64043346,0.583772809,0.696904992,0.675797227,0.621207023,0.641088471,0.651764076,0.597905516,0.663432984,0.728427814,0.747878167,0.665920765,0.643637954,0.713843087
NCBI:100132147,0.714762353,0.734886772,0.827104809,0.728786399,0.876288677,0.614979298,0.715812925,0.789357721,0.596798413,0.740672132,0.816195799,0.668670855,0.610487193,0.595294877,0.739309887,0.638670034,0.652244863,0.831784376,0.839567472,0.794056136,0.689124761,0.797374868
NCBI:100132618,0.586216907,0.726120692,0.694118498,0.798433684,0.909894854,0.626203883,0.744548995,0.767659654,0.652269885,0.746193631,0.717604831,0.676359178,0.649843683,0.623768134,0.791641395,0.639698629,0.723697973,0.75493524,0.75513727,0.747971827,0.630924901,0.812766272
NCBI:100132774,0.772187821,0.733565932,0.722779959,0.827269643,0.86075168,0.632024972,0.760038455,0.77403529,0.648240018,0.703563709,0.722723112,0.736054425,0.684306096,0.711929909,0.792811064,0.704827534,0.62502429,0.844612648,0.815907629,0.799460385,0.697388442,0.80881219
NCBI:100132891,0.603762848,0.567596555,0.712290447,0.552181133,0.730871985,0.596446553,0.58660076,0.724958536,0.545891088,0.744847947,0.633974372,0.676134642,0.694449671,0.573874858,0.649034869,0.719024158,0.70111882,0.573994988,0.82109094,0.603729047,0.70348135,0.695593124
NCBI:100133123,0.756424231,0.879103883,0.816210645,0.879802291,0.681342339,0.841384127,0.932251602,0.730744573,0.867290212,0.900850644,0.885972217,0.827573672,0.867654234,0.81764683,0.851019082,0.772275397,0.677827437,0.828701114,0.806900366,0.825137498,0.763066912,0.744399967
NCBI:100133161,0.613285739,0.6364022,0.522970817,0.613769667,0.724258337,0.628113622,0.601706514,0.717913365,0.645237373,0.607908704,0.671003219,0.649215305,0.607945106,0.576841799,0.716184059,0.656696344,0.613651184,0.644469571,0.662193807,0.670714049,0.582884998,0.661285249
NCBI:100133311,0.627591074,0.696444548,0.634178712,0.695115632,0.733715511,0.686618385,0.70254283,0.557712813,0.627860271,0.681460669,0.651481048,0.631019667,0.632502462,0.560224825,0.636146853,0.615810036,0.651065569,0.705787018,0.688742321,0.661717513,0.619447375,0.644373551
NCBI:100133545,0.69177861,0.707493707,0.706981509,0.746321765,0.847945409,0.614415703,0.67780982,0.698447475,0.673718577,0.667035517,0.776622142,0.705201292,0.655206665,0.646478216,0.724756343,0.642877689,0.659690971,0.689330578,0.721367145,0.721388903,0.683832265,0.727072909
NCBI:100133612,0.611688653,0.725697182,0.710665192,0.762537147,0.829609403,0.609759484,0.738983209,0.764722959,0.741071135,0.702554677,0.74484948,0.68860381,0.686553173,0.703037761,0.700412697,0.647269822,0.713306104,0.752572175,0.769036546,0.738946816,0.647237932,0.821310973
NCBI:100133991,0.694709748,0.696219295,0.74567201,0.763800662,0.802547094,0.739581587,0.73130532,0.747774114,0.688565386,0.706705005,0.663880372,0.596250129,0.654573677,0.678934266,0.785812225,0.58953924,0.648035504,0.909262388,0.926139083,0.747033297,0.721146633,0.715831938
NCBI:100134015,0.735514296,0.679220597,0.736670377,0.720818973,0.828339475,0.667600179,0.70455024,0.674762793,0.676671835,0.737724266,0.735621019,0.70308731,0.72437779,0.662225681,0.695898002,0.687858771,0.683694294,0.672084277,0.764869535,0.719721437,0.695815929,0.770541496
NCBI:100188954,0.570784674,0.663850956,0.745080934,0.710124625,0.844007924,0.704405133,0.654469071,0.70906655,0.668544088,0.54604346,0.656897913,0.690064334,0.601754034,0.594617336,0.705447412,0.677102368,0.624022816,0.765209285,0.704403909,0.674410541,0.698220978,0.682215548
NCBI:100190939,0.682113695,0.673627654,0.698023171,0.795984207,0.915384156,0.646714766,0.671676631,0.811972695,0.72229211,0.774397705,0.79518323,0.686753086,0.737651765,0.67967599,0.782387207,0.716565507,0.593004904,0.81465296,0.843344577,0.738397206,0.729109289,0.76235747
NCBI:100216546,0.600540497,0.640464296,0.648849126,0.671470708,0.732821646,0.560914495,0.610542444,0.658132138,0.617935773,0.674540004,0.69735636,0.659277746,0.642681828,0.672598558,0.74715632,0.722409705,0.537440017,0.667337655,0.642023332,0.58486122,0.719342863,0.629456589
NCBI:100272228,0.625366875,0.572782385,0.577979944,0.673436006,0.714808449,0.609119469,0.652005561,0.684450856,0.62951651,0.670294264,0.676221312,0.6054329,0.616668659,0.719955162,0.649993596,0.645751245,0.654734717,0.690520139,0.821253947,0.656191156,0.595957432,0.671396542
NCBI:100286844,0.669337263,0.679599901,0.776273062,0.821722239,0.822280419,0.641206468,0.588285543,0.681657054,0.57717796,0.682201352,0.657331759,0.598837903,0.67078728,0.610337344,0.641364386,0.656925488,0.698116372,0.748848004,0.722671854,0.635631579,0.581780965,0.673101931
NCBI:100287042,0.741072258,0.70586723,0.639306086,0.626627568,0.763304705,0.572087082,0.682127257,0.719931085,0.673152682,0.689705829,0.64972368,0.794524478,0.648671333,0.622383937,0.662144043,0.546393212,0.599089301,0.672133255,0.701547339,0.599103747,0.631532202,0.681494486
NCBI:100287177,0.763106107,0.801800214,0.730466876,0.799929751,0.786994996,0.657637769,0.80811321,0.835541517,0.680443403,0.833278524,0.884896926,0.804313571,0.746849075,0.664753213,0.857573589,0.630119979,0.735156393,0.880378128,0.927747617,0.865004504,0.701388254,0.817169049
NCBI:100287569,0.728341329,0.726360256,0.733201777,0.800290405,0.887654436,0.622266903,0.73527191,0.687880731,0.723970033,0.685292681,0.746482457,0.673971477,0.744122557,0.562224339,0.782285712,0.623689324,0.62967288,0.745270176,0.848298058,0.776896975,0.63498307,0.826788892
NCBI:100287616,0.698279025,0.657481154,0.692133683,0.725405975,0.820891208,0.658766122,0.65232985,0.669845344,0.679211713,0.594820888,0.74495053,0.597116772,0.675379961,0.612820699,0.712539308,0.678762203,0.619083231,0.785903648,0.774763099,0.678394403,0.658689173,0.73890644
NCBI:100287722,0.718649035,0.668359595,0.83757253,0.735581798,0.883574566,0.737055469,0.588962009,0.741747021,0.588986767,0.678567282,0.719359265,0.715347507,0.72575337,0.65903483,0.731004562,0.639371462,0.601736464,0.801106677,0.785745166,0.701477593,0.633794285,0.725009743
NCBI:100287765,0.629716706,0.649987303,0.569509529,0.718209692,0.741767127,0.593497788,0.650781554,0.624745923,0.648030423,0.653172515,0.612852599,0.644984068,0.643135036,0.63472532,0.644724003,0.631412785,0.61303204,0.573159259,0.625194526,0.734302279,0.604836954,0.601698637
NCBI:100288122,0.644577102,0.721686819,0.66570036,0.764897991,0.861339695,0.658252299,0.781541705,0.713801394,0.701783207,0.666262858,0.658174984,0.598877982,0.634000789,0.628999199,0.691033468,0.593292355,0.592431799,0.733933971,0.761662859,0.73654063,0.562923385,0.724731893
NCBI:100288428,0.640781485,0.759354297,0.768011793,0.7032038,0.796128113,0.645407109,0.678866223,0.649953713,0.742420467,0.680042301,0.817293097,0.697893108,0.559832281,0.649590214,0.73903936,0.734175581,0.637392879,0.711206809,0.770089433,0.669581664,0.763963843,0.718637908
NCBI:100288798,0.709456345,0.608812444,0.487630732,0.698379555,0.70523831,0.541629512,0.816406895,0.492812449,0.9851699,0.62141826,0.417706356,0.489705059,0.954791716,0.460260775,0.473948687,0.58192749,0.408765974,0.635377302,0.718911366,0.833995409,0.900731607,0.494636249
NCBI:100289019,0.693351749,0.61306994,0.625394618,0.61793162,0.734877162,0.621127191,0.656846826,0.590583223,0.618627062,0.620508977,0.614533871,0.654013238,0.657562279,0.644763045,0.607945858,0.713336015,0.596460853,0.667090713,0.750989224,0.69908172,0.64875891,0.586000908
NCBI:100289098,0.808063339,0.902790241,0.965244734,0.843299555,0.810550009,0.69495475,0.868466172,0.842025441,0.746446019,0.845552963,0.915292923,0.726646331,0.73957737,0.628549853,0.888660829,0.77258398,0.725002337,0.758511504,0.748581569,0.798983028,0.708549246,0.8229808
NCBI:100289178,0.632579474,0.676567776,0.76860292,0.811257483,0.881419725,0.629562418,0.712276518,0.691547565,0.66185224,0.726278631,0.582911044,0.63336868,0.690276332,0.686383723,0.630108164,0.623434584,0.571899183,0.650444632,0.758884175,0.699131239,0.668781281,0.774502172
NCBI:100289211,0.722461358,0.678123608,0.760032101,0.675580708,0.7147272,0.657135074,0.671004971,0.756413575,0.626272752,0.697574497,0.713588902,0.622701708,0.662013581,0.5642583,0.748940198,0.649448969,0.686873999,0.660736435,0.725387808,0.764799803,0.640618018,0.719867327
NCBI:100289509,0.725804997,0.809296437,0.782642226,0.852296061,0.856001252,0.703628512,0.849568428,0.87116477,0.7973983,0.834947848,0.827188957,0.758774773,0.637418754,0.701749008,0.83208876,0.694877774,0.684639319,0.785647145,0.919253099,0.827072426,0.698393828,0.969143568
NCBI:100292680,0.677875771,0.676536474,0.744708012,0.737709795,0.777014895,0.638752883,0.765292996,0.672281458,0.651054843,0.726969495,0.756088934,0.605042709,0.655573621,0.672630353,0.757717376,0.678580128,0.64178318,0.674338901,0.800929193,0.815277875,0.579084353,0.653915175
NCBI:100294145,0.702650351,0.632552706,0.627751016,0.749470386,0.465761369,0.429596896,0.880142689,0.758122503,0.831556817,0.419629785,0.73340961,0.669133923,0.800060694,0.635373701,0.420883369,0.758420362,0.592167043,0.641786431,0.773172798,0.887591755,0.819528429,0.533837721
NCBI:100302692,0.612849981,0.654979162,0.756984285,0.696647803,0.838769207,0.712125497,0.722764156,0.74250464,0.73973047,0.733213343,0.770403718,0.738157968,0.722836092,0.687778761,0.726549232,0.696592721,0.614280688,0.755474541,0.770973664,0.657373902,0.669829793,0.876586551
NCBI:100302740,0.668238051,0.692436882,0.798767354,0.840148167,0.839087149,0.687479043,0.715014624,0.758332708,0.682198235,0.649001207,0.70986713,0.73032932,0.595803374,0.593660032,0.766984641,0.745687239,0.71574951,0.821158297,0.780021909,0.735672012,0.716262986,0.805862748
NCBI:100303491,0.909416877,0.571143509,0.682218931,0.729970187,0.616649467,0.432559812,0.769268326,0.542229013,0.746619432,0.750406514,0.730775824,0.561294203,0.967236385,0.638380286,0.569211032,0.467804367,0.749000685,0.691323101,0.879371671,0.88579511,0.806470084,0.493784771
NCBI:100303728,0.639459501,0.665008775,0.706894321,0.703484136,0.816686029,0.708117785,0.700007621,0.685865133,0.597883621,0.678809587,0.726151106,0.553338546,0.626366924,0.633944517,0.649497152,0.674563751,0.628329664,0.706853493,0.736041171,0.765501303,0.604252862,0.735165285
NCBI:100306951,0.881544762,0.913793894,0.848228262,0.819848571,0.697671822,0.790192436,0.804327013,0.810407241,0.821547095,0.906875389,0.817055513,0.847545609,0.777403488,0.819684861,0.814702031,0.685038971,0.845063991,0.800625411,0.721904763,0.959915827,0.769052889,0.81744799
NCBI:100316868,0.640940778,0.543609142,0.590911351,0.671802947,0.703288859,0.566558299,0.656146416,0.671855677,0.692481382,0.674107177,0.681511139,0.580643659,0.568472564,0.662162468,0.577295049,0.555001313,0.51603583,0.688993534,0.717938919,0.676376259,0.685322013,0.656555576
NCBI:100379345,0.820598545,0.921986945,0.764169031,0.814324771,0.621787103,0.762046398,0.796666236,0.944091451,0.762207706,0.804966455,0.891603227,0.806692629,0.803779826,0.776655503,0.903292221,0.789603387,0.830299877,0.764635454,0.712911116,0.865448431,0.807561412,0.845995144
NCBI:100379571,0.823028766,0.863191652,0.934868964,0.931824344,0.741978565,0.639099944,0.886153364,0.953201458,0.707082362,0.889343569,0.795955708,0.794866673,0.747293953,0.815071605,0.885110789,0.689863501,0.77393327,0.797321007,0.951737334,0.894176992,0.735351369,0.970684779
NCBI:100499177,0.615160052,0.735336735,0.644549239,0.714132461,0.740462035,0.684731086,0.705939776,0.720457296,0.667205381,0.770443688,0.664904793,0.582558723,0.786071133,0.608150039,0.681588729,0.686595815,0.671252501,0.749064574,0.757261133,0.710606179,0.623746528,0.786122114
NCBI:100499183,0.891616298,0.946385784,0.864560358,0.827110258,0.707976821,0.711946732,0.947313724,0.862271585,0.797779057,0.925525443,0.928078064,0.767024667,0.685098696,0.751232594,0.8906474,0.7177421,0.747508079,0.817768699,0.77406539,0.839022627,0.81226717,0.784116506
NCBI:100499227,0.683186274,0.822138712,0.778171424,0.840424916,0.794327816,0.724275084,0.761708215,0.864705932,0.687093267,0.715372102,0.717448114,0.78239679,0.681915711,0.666577769,0.726523176,0.728394519,0.671546148,0.791472055,0.865193206,0.810077171,0.695442127,0.83034
NCBI:100505538,0.676948607,0.627127558,0.682710425,0.75716393,0.82895731,0.553697611,0.661247972,0.652932219,0.65290829,0.659118745,0.61066131,0.627109879,0.556300209,0.625178487,0.671430702,0.703881763,0.668552778,0.700006676,0.735853356,0.696127705,0.750062794,0.790537944
NCBI:100505624,0.853209305,0.775436518,0.827564582,0.819249885,0.79410109,0.702493563,0.899851305,0.844540736,0.83229487,0.869736449,0.790361495,0.769400911,0.715941343,0.695883152,0.966832662,0.733038734,0.725598016,0.876295961,0.927315563,0.955765971,0.663639476,0.875173775
NCBI:100505641,0.765862625,0.585618946,0.467379608,0.562855907,0.708235057,0.428564945,0.968709871,0.634584229,0.721114655,0.598884857,0.557946139,0.733695442,0.953761982,0.543551617,0.625594352,0.54517599,0.605534993,0.534094484,0.970141212,0.794009334,0.97535134,0.632631795
NCBI:100505648,0.740075326,0.790613754,0.765381406,0.662285595,0.854691175,0.609678921,0.75696278,0.816597268,0.768482934,0.892006069,0.828689242,0.70981939,0.588913984,0.646266721,0.812678079,0.799240236,0.638847109,0.843721547,0.905581193,0.813857358,0.66610646,0.860412047
NCBI:100505678,0.593443701,0.653777377,0.603775326,0.704148169,0.656525135,0.627536212,0.550906225,0.566462162,0.607227198,0.710645082,0.674380679,0.630952348,0.605074812,0.559356078,0.655178633,0.629760828,0.593235068,0.656178271,0.688802153,0.691067253,0.628585922,0.653930368
NCBI:100505681,0.801045388,0.858264278,0.832847459,0.855033676,0.745839138,0.715563778,0.877074223,0.813486028,0.879906302,0.788695785,0.922441091,0.804222794,0.734704016,0.647345236,0.792729565,0.740777809,0.854068395,0.80562904,0.760922648,0.87336051,0.780536894,0.881606791
NCBI:100505696,0.568357761,0.682171602,0.646787463,0.606897612,0.637894185,0.560074886,0.664626071,0.620503825,0.64026067,0.703649844,0.667925605,0.559919946,0.609834228,0.579170588,0.619040789,0.58231595,0.60892208,0.6575515,0.643108903,0.703295847,0.683439199,0.671714955
NCBI:100505746,0.622025921,0.719975699,0.685868104,0.699747858,0.866035763,0.552060276,0.638544706,0.700328812,0.664093217,0.692185546,0.707574844,0.68584014,0.518392429,0.648952718,0.698465592,0.619336598,0.62493731,0.6428079,0.658336948,0.653353082,0.705969741,0.642306888
